unit_id,lcdb_class,area_ha,advisory_rule_ids,pre1990_overlap_m2,pre1990_overlap_pct,conservation_overlap_m2,conservation_overlap_pct,max_overlap_pct
lcdb1000036831,High Producing Exotic Grassland,569.264,R-03-low-overlap|R-04-low-overlap,2860.53,0.0502,207.57,0.0036,0.0502
lcdb1000072354,Gorse and/or Broom,37.5232,R-03-low-overlap,155.86,0.0415,0.0,0.0,0.0415
lcdb1000071709,Gorse and/or Broom,4.9864,R-03-low-overlap,17.77,0.0356,0.0,0.0,0.0356
lcdb1000412151,Low Producing Grassland,2.2194,R-03-low-overlap,7.73,0.0348,0.0,0.0,0.0348
lcdb1000185466,High Producing Exotic Grassland,6.3082,R-03-low-overlap,21.13,0.0335,0.0,0.0,0.0335
lcdb1000036911,High Producing Exotic Grassland,7.7002,R-03-low-overlap,24.48,0.0318,0.0,0.0,0.0318
lcdb1000036252,High Producing Exotic Grassland,160.8386,R-03-low-overlap,461.8,0.0287,0.0,0.0,0.0287
lcdb1000401250,High Producing Exotic Grassland,39.0753,R-03-low-overlap,106.16,0.0272,0.0,0.0,0.0272
lcdb1000035677,High Producing Exotic Grassland,312.6848,R-03-low-overlap,765.16,0.0245,0.0,0.0,0.0245
lcdb1000035680-part-88,High Producing Exotic Grassland,1314.9378,R-04-low-overlap,0.14,0.0,2784.08,0.0212,0.0212
lcdb1000036503,High Producing Exotic Grassland,402.0433,R-03-low-overlap,719.72,0.0179,0.0,0.0,0.0179
lcdb1000036632,High Producing Exotic Grassland,291.338,R-03-low-overlap,445.31,0.0153,0.0,0.0,0.0153
lcdb1000406136,High Producing Exotic Grassland,5.5732,R-03-low-overlap,8.04,0.0144,0.0,0.0,0.0144
lcdb1000036868,High Producing Exotic Grassland,382.1672,R-04-low-overlap,0.0,0.0,530.36,0.0139,0.0139
lcdb1000085600,Low Producing Grassland,13.2379,R-03-low-overlap,15.04,0.0114,0.0,0.0,0.0114
lcdb1000036748,High Producing Exotic Grassland,92.441,R-03-low-overlap,89.75,0.0097,0.0,0.0,0.0097
lcdb1000035388,High Producing Exotic Grassland,2.6062,R-03-low-overlap,1.64,0.0063,0.0,0.0,0.0063
lcdb1000404310,Low Producing Grassland,8.1961,R-03-low-overlap,1.78,0.0022,0.0,0.0,0.0022
lcdb2000501283,High Producing Exotic Grassland,31.8102,R-04-low-overlap,0.0,0.0,1.02,0.0003,0.0003
lcdb1000618462,High Producing Exotic Grassland,63.7198,R-04-low-overlap,0.0,0.0,1.06,0.0002,0.0002
